"","gndr","eisced","cntry","agea","nwspol","netustm","horas_internet","noticias_internet","trstplt","trstsci","happy","health"
"18752","Mujer","Formacion Profesional","Serbia",65,30,180,3,0.5,0,4,1,3
"18753","Mujer","Bachiller","Serbia",59,60,180,3,1,0,10,5,3
"18754","Mujer","Secundaria Inferior","Serbia",17,60,300,5,1,1,10,5,2
"18755","Hombre","Bachiller","Serbia",66,180,120,2,3,10,10,6,3
"18756","Hombre","Formacion Profesional","Serbia",71,120,NA,NA,2,1,10,7,4
"18757","Hombre","Bachiller","Serbia",56,270,210,3.5,4.5,3,8,5,2
"18758","Mujer","Bachiller","Serbia",45,130,179,2.98,2.17,2,7,4,4
"18759","Mujer","Secundaria Superior","Serbia",54,20,NA,NA,0.33,0,0,0,4
"18760","Hombre","Formacion Profesional","Serbia",39,75,75,1.25,1.25,0,3,4,4
"18761","Hombre","Bachiller","Serbia",68,90,NA,NA,1.5,7,10,8,4
"18762","Hombre","Bachiller","Serbia",61,65,345,5.75,1.08,0,8,5,3
"18763","Hombre","Master/Doctorado","Serbia",38,60,120,2,1,0,6,6,4
"18764","Mujer","Formacion Profesional","Serbia",72,120,180,3,2,5,8,7,3
"18765","Mujer","Grado Universitario","Serbia",86,90,NA,NA,1.5,2,4,3,2
"18766","Hombre","Secundaria Superior","Serbia",52,30,120,2,0.5,5,6,6,3
"18767","Mujer","Grado Universitario","Serbia",32,60,180,3,1,3,4,7,5
"18768","Mujer","Master/Doctorado","Serbia",60,210,330,5.5,3.5,1,8,8,3
"18769","Mujer","Secundaria Superior","Serbia",63,130,NA,NA,2.17,8,8,4,5
"18770","Hombre","Bachiller","Serbia",63,195,NA,NA,3.25,0,8,7,4
"18771","Hombre","Formacion Profesional","Serbia",57,150,210,3.5,2.5,7,10,8,4
"18772","Hombre","Formacion Profesional","Serbia",41,29,720,12,0.48,0,9,9,5
"18773","Mujer","Bachiller","Serbia",66,150,NA,NA,2.5,5,5,5,3
"18774","Mujer","Master/Doctorado","Serbia",31,60,240,4,1,0,10,1,3
"18775","Hombre","Master/Doctorado","Serbia",33,20,720,12,0.33,1,7,7,5
"18776","Mujer","Grado Universitario","Serbia",41,75,255,4.25,1.25,0,9,8,4
"18777","Hombre","Grado Universitario","Serbia",73,9,480,8,0.15,0,10,5,4
"18778","Hombre","Grado Universitario","Serbia",51,60,150,2.5,1,0,9,4,3
"18779","Mujer","Secundaria Superior","Serbia",63,240,NA,NA,4,6,4,8,2
"18780","Hombre","Secundaria Superior","Serbia",56,240,480,8,4,0,8,6,3
"18781","Mujer","Master/Doctorado","Serbia",47,153,315,5.25,2.55,8,9,7,3
